Year,Neighbourhood,Total,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +
2016,Woodbine-Lumsden,"1,094",**,"1,019",**,**
2016,Wychwood,"1,236",**,"1,298",**,**
2016,Yonge-Eglinton,"1,320","1,015","1,290","1,616",**
2016,Yonge-St. Clair,"1,566","1,030","1,327","1,773",**
2016,Yorkdale-Glen Park,"1,123",**,"1,019","1,212","1,349"
2016,Toronto,"1,240",957,"1,132","1,326","1,525"
2015,Agincourt/Malvern,"1,300",**,"1,106","1,294","1,522"
2015,Ajax/Pickering,"1,165",**,897,"1,094","1,308"
2015,Alderwood,"1,084",**,916,"1,124",**
2015,Aurora,"1,215",**,"1,112","1,299",**
2015,Banbury-Don Mills/York Mills,"1,061",740,"1,005","1,136","1,248"
2015,Bathurst Manor,"1,233",772,"1,104","1,230","1,426"
2015,Bay Street Corridor,"2,067","1,372","1,730","2,493",**
2015,Bayview Village,"1,367",**,"1,227","1,447",**
2015,Bayview Woods-Steeles/Hillcrest Village,**,**,**,**,**
2015,Bedford Park-Nortown,"1,154",864,982,"1,315",**
2015,Beechborough-Greenbrook,944,767,853,"1,059",**
2015,Bendale,"1,079",769,955,"1,070","1,202"
2015,Birchcliffe-Cliffside,"1,145",921,"1,041","1,263",**
2015,Black Creek,"1,091",836,941,"1,092","1,297"
2015,Bradford/West Gwillimbury/New Tecumseth,995,799,880,"1,040","1,381"
2015,Brampton (East),"1,243",811,"1,132","1,279","1,372"
2015,Brampton (West),"1,119",747,"1,003","1,158","1,386"
2015,Briar Hill-Belgravia,"1,200",758,"1,066","1,283","1,609"
2015,Broadview North,"1,078",842,"1,040","1,268",**
2015,Bronte,"1,319",**,"1,183","1,395",**
2015,Brookhaven-Amesbury,"1,108",844,947,"1,131","1,376"
2015,Cabbagetown-South St. James Town,"1,255",859,"1,221","1,637",**
2015,Caledon,**,**,**,**,**
2015,Caledonia-Fairbank,969,825,903,"1,052",**
2015,Casa Loma,"1,665","1,001","1,345","1,934","3,189"
