Year,Neighbourhood,Total,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Whole_Toronto_AV
2017,Wexford-Maryvale,1071,872,"1,006","1,139","1,254",1308
2017,Whitchurch/Stouffville,1153,**,"1,116","1,167",**,1308
2017,Willowdale East/Newtonbrook East,1667,**,"1,454","1,815","2,362",1308
2017,Willowdale West/Newtonbrook West,1342,**,"1,216","1,396","1,609",1308
2017,Willowridge-Martingrove-Richview,1601,**,"1,217","1,630","1,863",1308
2017,Woburn,1140,846,"1,017","1,174","1,280",1308
2017,Woodbine Corridor/Greenwood-Coxwell,1007,**,**,**,**,1308
2017,Woodbine-Lumsden,1114,**,"1,008",**,**,1308
2017,Wychwood,1168,**,"1,160",**,**,1308
2017,Yonge-Eglinton,1416,"1,076","1,316","1,840",**,1308
2017,Yonge-St. Clair,1474,"1,110","1,358","1,735",**,1308
2017,Yorkdale-Glen Park,1137,**,"1,033","1,233","1,235",1308
2017,Toronto,1308,"1,013","1,194","1,403","1,589",1308
2016,Agincourt/Malvern,1239,**,"1,107","1,251","1,361",1240
2016,Ajax/Pickering,1270,**,946,"1,212","1,302",1240
2016,Alderwood,1245,**,"1,036","1,264",**,1240
2016,Aurora,1286,**,"1,076","1,270",**,1240
2016,Banbury-Don Mills/York Mills,1218,881,"1,097","1,253","1,565",1240
2016,Bathurst Manor,1237,797,"1,101","1,259","1,435",1240
2016,Bay Street Corridor,2027,"1,450","1,728","2,885",**,1240
2016,Bayview Village,1499,**,"1,325","1,571",**,1240
2016,Bayview Woods-Steeles/Hillcrest Village,1614,**,"1,401","1,662","1,709",1240
2016,Bedford Park-Nortown,1271,889,"1,086","1,417","1,988",1240
2016,Beechborough-Greenbrook,1001,776,897,"1,109",**,1240
2016,Bendale,1136,866,"1,028","1,119","1,261",1240
2016,Birchcliffe-Cliffside,1237,877,"1,121","1,380",**,1240
2016,Black Creek,1145,918,981,"1,142","1,367",1240
2016,Bradford/West Gwillimbury/New Tecumseth,1023,827,920,"1,089","1,338",1240
2016,Brampton (East),1280,835,"1,170","1,314","1,405",1240
2016,Brampton (West),1143,771,"1,024","1,184","1,404",1240
2016,Briar Hill-Belgravia,1121,742,"1,020","1,248","1,428",1240
2016,Broadview North,1137,889,"1,099","1,326",**,1240
2016,Bronte,1408,**,"1,253","1,485","1,784",1240
2016,Brookhaven-Amesbury,1092,748,945,"1,122","1,402",1240
2016,Cabbagetown-South St. James Town,1298,953,"1,252","1,778",**,1240
2016,Caledon,**,**,**,**,**,1240
2016,Caledonia-Fairbank,1001,769,927,"1,108",**,1240
2016,Casa Loma,1763,"1,029","1,382","2,106","3,240",1240
2016,Churchill Meadows/Erin Mills,1301,855,991,"1,203","1,600",1240
